Date,Close/Last,Open,High,Low
04/30/2024,87.86,88.32,88.71,87.47
04/29/2024,88.40,89.25,89.30,88.10
04/26/2024,89.50,89.21,89.83,88.80
04/25/2024,89.01,88.11,89.26,87.29
04/24/2024,88.02,88.46,88.80,87.65
04/23/2024,88.42,87.23,88.49,86.04
04/22/2024,87.00,87.04,87.25,85.79
04/19/2024,87.29,86.96,90.78,86.16
04/18/2024,87.11,87.44,87.79,86.10
04/17/2024,87.29,90.05,90.15,87.14
04/16/2024,90.02,90.43,90.83,89.41
04/15/2024,90.10,90.37,90.40,89.02
04/12/2024,90.45,90.29,92.18,90.01
04/11/2024,89.74,90.54,90.92,89.37
04/10/2024,90.48,89.51,90.66,89.80
04/09/2024,89.42,90.55,90.94,89.27
04/08/2024,90.38,90.31,91.10,88.80
04/05/2024,91.17,91.01,91.91,90.57
04/04/2024,90.65,89.50,91.30,88.73
04/03/2024,89.35,89.21,89.98,88.68
04/02/2024,88.92,87.80,89.28,87.65
04/01/2024,87.42,86.93,87.99,86.40
03/28/2024,87.48,86.53,87.45,86.32
03/27/2024,86.09,85.97,86.36,85.18
03/26/2024,86.25,86.77,87.05,85.81
03/25/2024,86.75,85.60,87.18,85.40
03/22/2024,85.43,85.55,86.15,85.11
03/21/2024,85.78,86.16,86.64,85.05
03/20/2024,85.95,87.22,87.35,85.58
03/19/2024,87.38,86.85,87.71,86.49
03/18/2024,86.89,85.38,87.18,85.26
03/15/2024,85.34,85.13,85.55,84.63
03/14/2024,85.42,83.98,85.68,83.94
03/13/2024,84.03,82.39,84.22,81.97
03/12/2024,81.92,82.43,83.01,81.69
03/11/2024,82.21,81.91,82.73,81.08
03/08/2024,82.08,83.34,83.84,81.71
03/07/2024,83.24,82.84,83.47,82.07
03/06/2024,82.96,82.08,84.06,81.89
03/05/2024,82.04,82.97,83.14,81.73
03/04/2024,82.80,83.59,84.07,82.58
03/01/2024,83.55,81.97,84.35,81.81
02/29/2024,83.62,83.65,83.74,83.04
02/28/2024,83.68,83.40,84.30,82.62
02/27/2024,83.65,82.55,83.74,82.10
02/26/2024,82.53,81.59,83.06,81.02
02/23/2024,81.62,83.42,83.48,81.44
02/22/2024,83.67,83.16,83.97,82.34
02/21/2024,83.03,82.56,83.17,81.67
02/20/2024,82.34,83.30,83.63,82.05
02/16/2024,83.47,82.83,83.66,81.90
02/15/2024,82.86,81.52,83.25,80.72
02/14/2024,81.60,82.66,83.61,81.39
02/13/2024,82.77,82.05,83.23,81.96
02/12/2024,82.00,81.76,82.21,80.79
02/09/2024,82.19,81.73,82.46,81.21
02/08/2024,81.63,78.70,81.89,79.02
02/07/2024,79.21,78.70,79.47,78.49
02/06/2024,78.59,77.94,78.85,78.03
02/05/2024,77.99,77.66,78.33,76.62
02/02/2024,77.33,78.92,79.44,76.86
02/01/2024,78.70,80.67,80.50,78.58
01/31/2024,81.71,82.59,82.80,81.88
01/30/2024,82.87,82.57,83.25,82.21
01/29/2024,82.40,84.13,84.40,82.04
01/26/2024,83.55,82.39,83.83,81.32
01/25/2024,82.43,80.31,82.56,80.07
01/24/2024,80.04,79.74,80.74,79.05
01/23/2024,79.55,79.91,80.44,78.70
01/22/2024,80.06,78.85,80.55,77.82
01/19/2024,78.56,78.98,79.75,78.33
01/18/2024,79.10,78.05,79.30,77.34
01/17/2024,77.88,77.86,78.18,76.50
01/16/2024,77.79,79.24,79.39,77.61
01/12/2024,78.29,78.46,80.74,77.93
01/11/2024,77.41,76.74,79.09,76.65
01/10/2024,76.80,77.46,78.73,76.38
01/09/2024,77.59,76.36,78.18,75.96
01/08/2024,76.12,78.60,78.95,75.26
01/05/2024,78.76,77.60,79.25,77.50
01/04/2024,77.59,78.50,79.40,76.50
01/03/2024,78.25,75.99,78.67,74.79
01/02/2024,75.89,77.21,79.04,75.60
12/29/2023,77.04,77.42,77.97,76.75
12/28/2023,78.39,79.84,79.96,78.34
12/27/2023,79.65,80.74,81.32,79.50
12/26/2023,81.07,79.19,81.71,78.81
12/22/2023,79.07,79.44,80.37,78.83
12/21/2023,79.39,79.14,80.12,77.85
12/20/2023,79.70,79.25,80.61,79.08
12/19/2023,79.23,78.05,79.66,77.43
12/18/2023,77.95,76.97,79.51,75.78
12/15/2023,76.55,76.60,77.22,75.33
12/14/2023,76.61,74.71,77.35,74.46
12/13/2023,74.26,73.36,74.70,72.30
12/12/2023,73.24,76.25,76.64,72.86
12/11/2023,76.03,75.66,76.48,75.00
12/08/2023,75.84,74.50,76.36,74.23
12/07/2023,74.05,74.30,75.48,73.61
12/06/2023,74.30,77.06,77.63,74.11
12/05/2023,77.20,78.20,79.04,76.98
12/04/2023,78.03,79.43,79.13,77.97
12/01/2023,78.88,80.47,81.52,78.75
11/30/2023,82.83,82.87,82.95,82.67
11/29/2023,83.10,81.93,83.24,80.96
11/28/2023,81.68,80.14,82.18,79.83
11/27/2023,79.98,80.34,81.00,79.60
11/24/2023,80.58,81.63,82.20,80.18
11/22/2023,81.96,82.40,82.00,78.41
11/21/2023,82.45,82.13,82.53,81.41
11/20/2023,82.32,80.47,82.93,79.97
11/17/2023,80.61,77.53,80.59,80.46
11/16/2023,77.42,80.94,77.51,77.46
11/15/2023,81.18,82.38,83.01,80.80
11/14/2023,82.47,82.75,83.97,82.05
11/13/2023,82.52,81.45,82.82,80.41
11/10/2023,81.43,79.70,82.05,79.61
11/09/2023,80.01,79.78,81.48,79.44
11/08/2023,79.54,81.47,81.93,79.16
11/07/2023,81.61,85.23,85.32,81.42
11/06/2023,85.18,85.39,86.26,85.08
11/03/2023,84.89,86.86,87.78,84.55
11/02/2023,86.85,84.94,87.03,84.61
11/01/2023,84.63,85.45,87.22,84.56
10/31/2023,87.41,87.81,88.53,87.42
10/30/2023,87.45,90.30,89.81,87.22
10/27/2023,90.48,88.26,90.74,87.84
10/26/2023,87.93,90.04,90.36,87.55
10/25/2023,90.13,88.14,90.34,89.36
10/24/2023,88.07,90.35,90.24,87.35
10/23/2023,89.83,92.13,90.49,90.35
10/20/2023,92.16,92.85,93.79,91.68
10/19/2023,92.38,91.34,93.47,89.53
10/18/2023,91.50,90.90,92.97,90.60
10/17/2023,89.90,90.06,90.92,88.87
10/16/2023,89.65,90.92,91.39,89.49
10/13/2023,90.89,86.41,90.99,86.28
10/12/2023,86.00,85.60,87.64,85.28
10/11/2023,85.82,87.75,88.25,85.22
10/10/2023,87.65,88.11,88.47,86.92
10/09/2023,88.15,86.35,89.00,86.13
10/06/2023,84.58,84.22,84.96,83.45
10/05/2023,84.07,86.03,86.51,83.84
10/04/2023,85.81,90.96,91.19,85.73
10/03/2023,90.92,90.44,91.56,89.52
10/02/2023,90.71,92.19,93.32,90.35
09/29/2023,95.31,95.10,96.24,94.96
09/28/2023,95.38,96.62,97.63,94.75
09/27/2023,96.55,94.16,97.04,94.15
09/26/2023,93.96,93.26,94.21,91.80
09/25/2023,93.29,93.75,94.25,92.54
09/22/2023,93.27,93.32,94.63,92.80
09/21/2023,93.30,93.22,94.60,92.20
09/20/2023,93.53,94.48,94.73,92.76
09/19/2023,94.34,94.63,95.95,94.17
09/18/2023,94.43,94.20,94.95,93.78
09/15/2023,93.93,94.13,94.61,92.67
09/14/2023,93.70,92.20,94.21,92.03
09/13/2023,91.88,91.93,92.83,91.63
09/12/2023,92.06,90.56,92.42,90.54
09/11/2023,90.64,90.66,91.45,90.12
09/08/2023,90.65,89.80,91.02,89.30
09/07/2023,89.92,90.61,90.86,89.47
09/06/2023,90.60,89.98,91.11,89.25
09/05/2023,90.04,89.12,91.18,89.12
09/01/2023,88.55,86.82,88.96,86.74
08/31/2023,86.86,85.85,86.90,85.85
08/30/2023,85.86,85.63,86.21,85.13
08/29/2023,85.49,84.38,85.65,83.78
08/28/2023,84.42,84.87,85.22,84.11
08/25/2023,84.48,83.20,84.97,82.69
08/24/2023,83.36,82.99,83.61,81.97
08/23/2023,83.21,83.98,84.24,81.97
08/22/2023,84.03,84.39,84.65,83.84
08/21/2023,84.46,85.06,85.87,84.31
08/18/2023,84.80,83.83,85.07,83.32
08/17/2023,84.12,83.35,84.89,83.05
08/16/2023,83.45,85.12,85.36,83.12
08/15/2023,84.89,86.30,86.67,84.29
08/14/2023,86.21,86.64,86.70,85.50
08/11/2023,86.81,86.39,87.35,85.85
08/10/2023,86.40,87.37,88.10,86.15
08/09/2023,87.55,86.01,87.66,85.94
08/08/2023,86.17,85.84,86.35,83.32
08/07/2023,85.34,86.14,86.71,85.04
08/04/2023,86.24,85.32,86.65,85.11
08/03/2023,85.14,83.44,85.42,82.37
08/02/2023,83.20,85.73,85.98,82.75
08/01/2023,84.91,85.35,85.79,84.26
07/31/2023,85.56,84.88,85.66,84.52
07/28/2023,84.99,84.05,85.10,83.22
07/27/2023,84.24,83.03,84.51,82.99
07/26/2023,82.92,83.27,83.86,82.60
07/25/2023,83.64,82.83,83.88,82.24
07/24/2023,82.74,80.99,83.16,80.42
07/21/2023,81.07,79.66,81.24,79.66
07/20/2023,79.64,79.50,80.27,78.67
07/19/2023,79.46,79.80,80.95,79.18
07/18/2023,79.63,78.53,80.01,78.20
07/17/2023,78.50,79.45,80.61,78.26
07/14/2023,79.87,81.61,81.69,79.57
07/13/2023,81.36,80.15,81.75,79.87
07/12/2023,80.11,79.28,80.57,79.22
07/11/2023,79.40,77.86,79.50,77.64
07/10/2023,77.69,78.49,78.78,77.34
07/07/2023,78.47,76.48,78.53,76.02
07/06/2023,76.52,76.54,77.08,75.01
07/05/2023,76.65,74.94,76.94,74.78
07/03/2023,74.65,75.13,76.58,74.58
06/30/2023,74.90,74.25,75.13,74.25
06/29/2023,74.34,73.75,74.97,73.41
06/28/2023,74.03,72.56,74.21,71.58
06/27/2023,72.26,74.23,74.89,72.09
06/26/2023,74.18,74.45,74.83,73.43
06/23/2023,73.85,74.15,74.37,72.10
06/22/2023,74.14,76.96,77.19,73.58
06/21/2023,77.12,75.50,77.24,75.38
06/20/2023,75.90,76.23,77.15,74.52
06/16/2023,76.61,75.58,76.74,75.08
06/15/2023,75.67,73.47,75.96,72.91
06/14/2023,73.20,74.07,75.48,73.03
06/13/2023,74.29,72.00,74.65,71.95
06/12/2023,71.84,74.88,74.88,71.57
06/09/2023,74.79,75.53,76.55,74.72
06/08/2023,75.96,76.80,76.23,74.47
06/07/2023,76.95,76.07,77.62,75.51
06/06/2023,76.29,76.47,76.76,74.73
06/05/2023,76.71,77.50,78.72,76.30
06/02/2023,76.13,74.41,76.49,74.18
06/01/2023,74.28,72.09,75.25,72.01
05/31/2023,72.66,73.65,73.77,71.55
05/30/2023,73.54,77.37,77.74,73.16
05/26/2023,76.95,76.12,77.35,75.72
05/25/2023,76.26,78.26,78.50,75.12
05/24/2023,78.36,77.59,78.66,77.04
05/23/2023,76.84,75.97,77.74,75.65
05/22/2023,75.99,75.74,76.46,74.55
05/19/2023,75.58,75.90,77.50,75.10
05/18/2023,75.86,76.79,76.98,75.48
05/17/2023,76.96,74.68,77.31,74.09
05/16/2023,74.91,75.45,75.95,74.50
05/15/2023,75.23,74.25,75.75,73.49
05/12/2023,74.17,75.46,75.84,74.03
05/11/2023,74.98,76.64,77.40,74.62
05/10/2023,76.41,77.25,77.60,75.68
05/09/2023,77.44,76.85,77.49,75.83
05/08/2023,77.01,75.41,77.42,74.96
05/05/2023,75.30,72.65,75.73,72.41
05/04/2023,72.50,71.89,73.73,71.97
05/03/2023,72.33,75.27,75.55,71.68
05/02/2023,75.32,79.26,79.78,75.09
