Дата,Ссылка,Заголовок
27 апреля 2024 16:08,https://neftegaz.ru/news/finance/831520-npz-dangote-oil-refinery-ne-mozhet-oplatit-pribyvsheyu-kitayskuyu-neft-/,PetroChina почти месяц не могла выгрузить партию американской нефти на НПЗ Dangote в Нигерии из-за оплаты
27 апреля 2024 12:01,https://neftegaz.ru/news/finance/831527-tseny-na-neft-vyrosli-po-itogam-predydushchey-sessii-i-zavershili-nedelyu-v-plyuse/,Цены на нефть выросли по итогам предыдущей сессии и завершили неделю в плюсе
26 апреля 2024 16:31,https://neftegaz.ru/news/transport-and-storage/831438-indiya-vnov-prinimaet-neft-iz-rossii-na-tankerakh-sovkomflota-/,Индия вновь принимает нефть из России на танкерах Совкомфлота?
26 апреля 2024 14:35,https://neftegaz.ru/news/transport-and-storage/831396-chekhiya-v-2025-g-budet-poluchat-neft-iz-20-gosudarstv/,Чехия в 2025 г. будет получать нефть из 20 государств
26 апреля 2024 12:01,https://neftegaz.ru/news/finance/831359-neft-dorozhaet-i-zavershaet-nedelyu-v-plyuse/,Нефть дорожает и завершает неделю в плюсе
26 апреля 2024 08:01,https://neftegaz.ru/news/Trading/831223-import-nefti-v-indiyu-v-fevrale-2024-g-uvelichilsya-na-9-5/,"Импорт нефти в Индию в феврале 2024 г. увеличился на 9,5%"
26 апреля 2024 07:30,https://neftegaz.ru/news/companies/831278-chistaya-pribyl-cnooc-za-pervyy-kvartal-vyrosla-pochti-na-chetvert/,Чистая прибыль CNOOC за первый квартал выросла почти на четверть
25 апреля 2024 15:01,https://neftegaz.ru/news/finance/831160-neft-dorozhaet-na-dannykh-o-snizhenii-zapasov-syroy-nefti-v-ssha/,Нефть дорожает на данных о снижении запасов сырой нефти в США
25 апреля 2024 12:05,https://neftegaz.ru/news/transport-and-storage/831001-ktk-s-nachala-2024-g-otgruzil-21-1-mln-t-nefti-c-morskogo-terminala/,"КТК с начала 2024 г. отгрузил 21,1 млн т нефти c морского терминала"
25 апреля 2024 09:31,https://neftegaz.ru/news/standarts/830871-fiziki-iz-kitaya-i-izrailya-sozdali-nanomaterial-na-baze-probkovogo-duba-dlya-ochistki-vody-ot-nefti/,Физики из Китая и Израиля создали наноматериал на базе пробкового дуба для очистки воды от нефти
24 апреля 2024 21:20,https://neftegaz.ru/news/Oborudovanie/831032-do-kontsa-goda-nachnutsya-prodazhi-rossiyskoy-kosmetiki-na-osnove-unikalnoy-nefti-iz-yugry/,До конца года начнутся продажи российской косметики на основе уникальной нефти из Югры
24 апреля 2024 13:32,https://neftegaz.ru/news/gas/830838-ukrnafta-uvelichila-zapasy-nefti-i-prirodnogo-gaza/,Укрнафта увеличила запасы нефти и природного газа
24 апреля 2024 12:01,https://neftegaz.ru/news/finance/830851-neft-korrektsionno-snizhaetsya-na-fone-padeniya-aktsiy-v-ssha-i-konflikta-na-blizhnem-vostoke/,Нефть коррекционно снижается на фоне падения акций в США и конфликта на Ближнем Востоке
24 апреля 2024 10:04,https://neftegaz.ru/news/finance/830822-orlen-poteryala-400-mln-doll-ssha-pri-popytke-kupit-venesuelskuyu-neft/,Orlen потеряла 400 млн долл. США при попытке купить венесуэльскую нефть
24 апреля 2024 09:01,https://neftegaz.ru/news/transport-and-storage/830818-morskoy-eksport-rossiyskoy-nefti-ostaetsya-na-mnogomesyachnom-maksimume-ili-net/,Морской экспорт российской нефти остается на многомесячном максимуме. Или нет?
23 апреля 2024 17:35,https://neftegaz.ru/news/dobycha/830778-ekonomicheskiy-effekt-rn-yuganskneftegaza-ot-perekhoda-na-tsentralizovannoe-elektrosnabzhenie-sostav/,"Экономический эффект РН-Юганскнефтегаза от перехода на централизованное электроснабжение составил около 2,8 млрд руб."
23 апреля 2024 14:04,https://neftegaz.ru/news/finance/830658-venesuela-uskorila-perekhod-na-usdt-mozhet-luchshe-el-petro/,Венесуэла ускорила переход на USDT для обхода санкций США против своего нефтяного сектора. А как же El Petro?
23 апреля 2024 12:07,https://neftegaz.ru/news/finance/830636-neft-dorozhaet-napryazhennost-na-blizhnem-vostoke-ostaetsya-v-tsentre-vnimaniya/,Нефть дорожает: напряженность на Ближнем Востоке остается в центре внимания
23 апреля 2024 08:32,https://neftegaz.ru/news/dobycha/830600-dobycha-nefti-v-kitae-v-1-kvartale-2024-g-vyrosla-na-2-3-gaza-na-5-2/,"Добыча нефти в Китае в 1 квартале 2024 г. выросла на 2,3%, газа - на 5,2%"
22 апреля 2024 12:05,https://neftegaz.ru/news/finance/830436-neft-desheveet-na-fone-oslableniya-napryazhennosti-na-blizhnem-vostoke/,Нефть дешевеет на фоне ослабления напряженности на Ближнем Востоке
22 апреля 2024 09:34,https://neftegaz.ru/news/incidental/830417-v-sirii-smogli-likvidirovat-pozhar-na-nefteprovode/,В Сирии смогли ликвидировать пожар на нефтепроводе
20 апреля 2024 08:05,https://neftegaz.ru/news/dobycha/830191-norvegiya-v-marte-2024-g-narastila-dobychu-prirodnogo-gaza-na-1-2/,"Норвегия в марте 2024 г. нарастила добычу природного газа на 1,2%"
19 апреля 2024 17:31,https://neftegaz.ru/news/shelf/830185-gazovyy-proekt-barossa-na-kontinentalnom-shelfe-avstralii-blizitsya-k-zaversheniyu-/,Газовый проект Barossa на континентальном шельфе Австралии близится к завершению
19 апреля 2024 12:31,https://neftegaz.ru/news/Trading/830089-bloomberg-eksport-dizelnogo-topliva-iz-rossii-prodolzhaet-padat-na-protyazhenii-neskolkikh-nedel/,Экспорт дизельного топлива﻿ из России продолжает падать на протяжении нескольких недель
19 апреля 2024 12:04,https://neftegaz.ru/news/finance/830135-neft-dorozhaet-posle-ataki-izrailya-na-iranskiy-isfakhan/,Нефть дорожает после атаки Израиля на иранский Исфахан
19 апреля 2024 07:30,https://neftegaz.ru/news/Trading/830061-rost-postavok-rossiyskoy-nefti-v-indiyu-v-usloviyakh-sanktsiy-igra-na-uvelichenie-i-skrytnye-khody/,Рост поставок российской нефти в Индию в условиях санкций: игра на увеличение и скрытные ходы
18 апреля 2024 17:31,https://neftegaz.ru/news/transport-and-storage/829994-iran-uvelichil-eksport-nefti-v-1-m-kvartale-2024-g/,Иран увеличил экспорт нефти в 1-м квартале 2024 г.
